"","DateTime","UserId","Operation","Parameters","ValueBefore","ValueAfter","Duration"
"129","2019-01-27 14:46:39",1,"System search similar terms for simclin","Simclin: mets from category Tumor",NA,"16 similar terms found ( 39 were deleted before by user as irrelevant or duplicate of obtained before): mets metastasis metastatic malformation sbo lul cll lobectomy duodenal diverticulitis cell_lung_cancer colonic sclerosis squamous_cell cholelithiasis adenocarcinoma metastases cyst compression_fractures involvement hiatal_hernia malignant aaa bx adhesions lymph_node perforation toxic resection lymphoma high_grade sdh ge_junction tumor pericarditis polypectomy fibrosis mastectomy vasospasm stricture uterine diverticulosis nephrectomy x_cm dual insufficiency stage inguinal_hernia embolic surgeries pet des mass pfts vats","0"
"130","2019-01-27 14:46:39",1,"Update System Metrics","suggestedSimilarTerms","49","80",NA
"131","2019-01-27 14:46:39",1,"Update System Metrics","systemEfficacy","0.1","0.06",NA
"132","2019-01-27 14:46:39",1,"System search similar terms for simclin","Simclin: cell_carcinoma from category Tumor",NA,"31 similar terms found ( 19 were deleted before by user as irrelevant or duplicate of obtained before): cell_carcinoma hiatal_hernia nephrolithiasis sinusitis osteopenia surgeries polyps inguinal_hernia cyst status_post_cholecystectomy osteoarthritis abdominal_aortic_aneurysm ovarian cadaveric nephrectomy rheumatoid_arthritis diverticulitis rheumatic hysterectomy sleep_apnea goiter herpes_zoster transient_ischemic uterine hernia_repair obesity degeneration prostate_ca tah colonic umbilical_hernia renal_transplant psh degenerative breast_ca cataract hypercholesterolemia melanoma remote bx spinal_stenosis arthritis esophageal hip_fracture tia cataract_surgery peptic_ulcer_disease alcoholic b_deficiency xrt","0"
"133","2019-01-28 18:11:55",1,"Training the model","Bidirectional LSTM, 1000 features, maxlen = 100, keras package",NA,"Precision: 0.79; Recall: 0.5",NA
"134","2019-01-28 19:00:43",1,"Training the model","Bidirectional LSTM, 1000 features, maxlen = 100, keras package",NA,"Precision: 0.43; Recall: 0.5",NA
"135","2019-01-28 19:39:06",1,"Training the model","Bidirectional LSTM, 1000 features, maxlen = 100, keras package",NA,"Precision: 0.34; Recall: 0.5",NA
"136","2019-02-11 15:00:26",1,"Labeling","totalNotes",NA,"11","1.62"
"137","2019-02-11 15:00:26",1,"Labeling","totalPositiveNotes",NA,"7",NA
"138","2019-02-11 15:00:27",1,"Labeling","totalIrrelevantPositiveNotes",NA,"0",NA
"139","2019-02-11 15:00:27",1,"Labeling","totalNegatedPositiveNotes",NA,"0",NA
"140","2019-02-11 15:00:27",1,"Labeling","totalNegativeNotes",NA,"4",NA
"141","2019-02-11 15:37:33",1,"Training the model","Method: SVM, Cost = 4, Type =C-classification, Kernel = radial",NA,"",NA
"142","2019-02-11 15:38:21",1,"Training the model","Method: SVM, Cost = 4, Type =C-classification, Kernel = radial",NA,"",NA
"143","2019-02-11 15:55:53",1,"Prediction","Method: SVM","","",""
